2022-05-04 10:00:20 install openssh-client:amd64 <none> 1:8.4p1-5
2022-05-04 10:00:20 status half-installed openssh-client:amd64 1:8.4p1-5
2022-05-04 10:00:20 status unpacked openssh-client:amd64 1:8.4p1-5
2022-05-04 10:00:20 install ucf:all <none> 3.0043
2022-05-04 10:00:20 status half-installed ucf:all 3.0043
2022-05-04 10:00:20 status unpacked ucf:all 3.0043
2022-05-04 10:00:20 install xz-utils:amd64 <none> 5.2.5-2.1~deb11u1
2022-05-04 10:00:20 status half-installed xz-utils:amd64 5.2.5-2.1~deb11u1
2022-05-04 10:00:21 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2022-05-04 10:00:21 install libdevmapper1.02.1:amd64 <none> 2:1.02.175-2.1
2022-05-04 10:00:21 status half-installed libdevmapper1.02.1:amd64 2:1.02.175-2.1
2022-05-04 10:00:21 status unpacked libdevmapper1.02.1:amd64 2:1.02.175-2.1
2022-05-04 10:00:21 install dmsetup:amd64 <none> 2:1.02.175-2.1
2022-05-04 10:00:21 status half-installed dmsetup:amd64 2:1.02.175-2.1
2022-05-04 10:00:21 status unpacked dmsetup:amd64 2:1.02.175-2.1
2022-05-04 10:00:21 install libfuse2:amd64 <none> 2.9.9-5
2022-05-04 10:00:21 status half-installed libfuse2:amd64 2.9.9-5
2022-05-04 10:00:21 status unpacked libfuse2:amd64 2.9.9-5
2022-05-04 10:00:21 install fuse:amd64 <none> 2.9.9-5
2022-05-04 10:00:21 status half-installed fuse:amd64 2.9.9-5
2022-05-04 10:00:21 status unpacked fuse:amd64 2.9.9-5
2022-05-04 10:00:21 install libbrotli1:amd64 <none> 1.0.9-2+b2
2022-05-04 10:00:21 status half-installed libbrotli1:amd64 1.0.9-2+b2
2022-05-04 10:00:21 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-05-04 10:00:21 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:21 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:21 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:21 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:21 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:21 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:21 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3
2022-05-04 10:00:21 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-05-04 10:00:21 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-05-04 10:00:21 install libnghttp2-14:amd64 <none> 1.43.0-1
2022-05-04 10:00:21 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-05-04 10:00:21 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-05-04 10:00:21 install libpsl5:amd64 <none> 0.21.0-1.2
2022-05-04 10:00:21 status half-installed libpsl5:amd64 0.21.0-1.2
2022-05-04 10:00:21 status unpacked libpsl5:amd64 0.21.0-1.2
2022-05-04 10:00:21 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-05-04 10:00:21 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-05-04 10:00:21 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-05-04 10:00:21 install libssh2-1:amd64 <none> 1.9.0-2
2022-05-04 10:00:21 status half-installed libssh2-1:amd64 1.9.0-2
2022-05-04 10:00:21 status unpacked libssh2-1:amd64 1.9.0-2
2022-05-04 10:00:21 install libcurl3-gnutls:amd64 <none> 7.74.0-1.3+deb11u1
2022-05-04 10:00:21 status half-installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-05-04 10:00:21 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-05-04 10:00:21 install libexpat1:amd64 <none> 2.2.10-2+deb11u3
2022-05-04 10:00:21 status half-installed libexpat1:amd64 2.2.10-2+deb11u3
2022-05-04 10:00:21 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-05-04 10:00:21 install liberror-perl:all <none> 0.17029-1
2022-05-04 10:00:21 status half-installed liberror-perl:all 0.17029-1
2022-05-04 10:00:21 status unpacked liberror-perl:all 0.17029-1
2022-05-04 10:00:21 install git-man:all <none> 1:2.30.2-1
2022-05-04 10:00:21 status half-installed git-man:all 1:2.30.2-1
2022-05-04 10:00:22 status unpacked git-man:all 1:2.30.2-1
2022-05-04 10:00:22 install git:amd64 <none> 1:2.30.2-1
2022-05-04 10:00:22 status half-installed git:amd64 1:2.30.2-1
2022-05-04 10:00:23 status unpacked git:amd64 1:2.30.2-1
2022-05-04 10:00:23 install libip4tc2:amd64 <none> 1.8.7-1
2022-05-04 10:00:23 status half-installed libip4tc2:amd64 1.8.7-1
2022-05-04 10:00:23 status unpacked libip4tc2:amd64 1.8.7-1
2022-05-04 10:00:23 install libip6tc2:amd64 <none> 1.8.7-1
2022-05-04 10:00:23 status half-installed libip6tc2:amd64 1.8.7-1
2022-05-04 10:00:23 status unpacked libip6tc2:amd64 1.8.7-1
2022-05-04 10:00:23 install libnfnetlink0:amd64 <none> 1.0.1-3+b1
2022-05-04 10:00:23 status half-installed libnfnetlink0:amd64 1.0.1-3+b1
2022-05-04 10:00:23 status unpacked libnfnetlink0:amd64 1.0.1-3+b1
2022-05-04 10:00:23 install libnetfilter-conntrack3:amd64 <none> 1.0.8-3
2022-05-04 10:00:23 status half-installed libnetfilter-conntrack3:amd64 1.0.8-3
2022-05-04 10:00:23 status unpacked libnetfilter-conntrack3:amd64 1.0.8-3
2022-05-04 10:00:23 install libnftnl11:amd64 <none> 1.1.9-1
2022-05-04 10:00:23 status half-installed libnftnl11:amd64 1.1.9-1
2022-05-04 10:00:23 status unpacked libnftnl11:amd64 1.1.9-1
2022-05-04 10:00:23 install iptables:amd64 <none> 1.8.7-1
2022-05-04 10:00:23 status half-installed iptables:amd64 1.8.7-1
2022-05-04 10:00:23 status unpacked iptables:amd64 1.8.7-1
2022-05-04 10:00:23 install keyutils:amd64 <none> 1.6.1-2
2022-05-04 10:00:23 status half-installed keyutils:amd64 1.6.1-2
2022-05-04 10:00:23 status unpacked keyutils:amd64 1.6.1-2
2022-05-04 10:00:23 install libevent-2.1-7:amd64 <none> 2.1.12-stable-1
2022-05-04 10:00:23 status half-installed libevent-2.1-7:amd64 2.1.12-stable-1
2022-05-04 10:00:23 status unpacked libevent-2.1-7:amd64 2.1.12-stable-1
2022-05-04 10:00:23 install libnfsidmap2:amd64 <none> 0.25-6
2022-05-04 10:00:23 status half-installed libnfsidmap2:amd64 0.25-6
2022-05-04 10:00:23 status unpacked libnfsidmap2:amd64 0.25-6
2022-05-04 10:00:23 install nfs-common:amd64 <none> 1:1.3.4-6
2022-05-04 10:00:23 status half-installed nfs-common:amd64 1:1.3.4-6
2022-05-04 10:00:23 status unpacked nfs-common:amd64 1:1.3.4-6
2022-05-04 10:00:23 install socat:amd64 <none> 1.7.4.1-3
2022-05-04 10:00:23 status half-installed socat:amd64 1.7.4.1-3
2022-05-04 10:00:23 status unpacked socat:amd64 1.7.4.1-3
2022-05-04 10:00:23 startup packages configure
2022-05-04 10:00:23 configure libip4tc2:amd64 1.8.7-1 <none>
2022-05-04 10:00:23 status unpacked libip4tc2:amd64 1.8.7-1
2022-05-04 10:00:23 status half-configured libip4tc2:amd64 1.8.7-1
2022-05-04 10:00:23 status installed libip4tc2:amd64 1.8.7-1
2022-05-04 10:00:23 configure libexpat1:amd64 2.2.10-2+deb11u3 <none>
2022-05-04 10:00:23 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-05-04 10:00:23 status half-configured libexpat1:amd64 2.2.10-2+deb11u3
2022-05-04 10:00:24 status installed libexpat1:amd64 2.2.10-2+deb11u3
2022-05-04 10:00:24 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-05-04 10:00:24 status unpacked libpsl5:amd64 0.21.0-1.2
2022-05-04 10:00:24 status half-configured libpsl5:amd64 0.21.0-1.2
2022-05-04 10:00:24 status installed libpsl5:amd64 0.21.0-1.2
2022-05-04 10:00:24 configure libip6tc2:amd64 1.8.7-1 <none>
2022-05-04 10:00:24 status unpacked libip6tc2:amd64 1.8.7-1
2022-05-04 10:00:24 status half-configured libip6tc2:amd64 1.8.7-1
2022-05-04 10:00:24 status installed libip6tc2:amd64 1.8.7-1
2022-05-04 10:00:24 configure perl-modules-5.32:all 5.32.1-4+deb11u2 <none>
2022-05-04 10:00:24 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-05-04 10:00:24 status half-configured perl-modules-5.32:all 5.32.1-4+deb11u2
2022-05-04 10:00:24 status installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-05-04 10:00:24 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-05-04 10:00:24 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-05-04 10:00:24 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-05-04 10:00:24 status installed libbrotli1:amd64 1.0.9-2+b2
2022-05-04 10:00:24 configure libcbor0:amd64 0.5.0+dfsg-2 <none>
2022-05-04 10:00:24 status unpacked libcbor0:amd64 0.5.0+dfsg-2
2022-05-04 10:00:24 status half-configured libcbor0:amd64 0.5.0+dfsg-2
2022-05-04 10:00:24 status installed libcbor0:amd64 0.5.0+dfsg-2
2022-05-04 10:00:24 configure libnghttp2-14:amd64 1.43.0-1 <none>
2022-05-04 10:00:24 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-05-04 10:00:24 status half-configured libnghttp2-14:amd64 1.43.0-1
2022-05-04 10:00:24 status installed libnghttp2-14:amd64 1.43.0-1
2022-05-04 10:00:24 configure libfuse2:amd64 2.9.9-5 <none>
2022-05-04 10:00:24 status unpacked libfuse2:amd64 2.9.9-5
2022-05-04 10:00:24 status half-configured libfuse2:amd64 2.9.9-5
2022-05-04 10:00:24 status installed libfuse2:amd64 2.9.9-5
2022-05-04 10:00:24 configure libcap2:amd64 1:2.44-1 <none>
2022-05-04 10:00:24 status unpacked libcap2:amd64 1:2.44-1
2022-05-04 10:00:24 status half-configured libcap2:amd64 1:2.44-1
2022-05-04 10:00:24 status installed libcap2:amd64 1:2.44-1
2022-05-04 10:00:24 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-05-04 10:00:24 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:24 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:24 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:24 configure libcap2-bin:amd64 1:2.44-1 <none>
2022-05-04 10:00:24 status unpacked libcap2-bin:amd64 1:2.44-1
2022-05-04 10:00:24 status half-configured libcap2-bin:amd64 1:2.44-1
2022-05-04 10:00:24 status installed libcap2-bin:amd64 1:2.44-1
2022-05-04 10:00:24 configure libwrap0:amd64 7.6.q-31 <none>
2022-05-04 10:00:24 status unpacked libwrap0:amd64 7.6.q-31
2022-05-04 10:00:24 status half-configured libwrap0:amd64 7.6.q-31
2022-05-04 10:00:24 status installed libwrap0:amd64 7.6.q-31
2022-05-04 10:00:24 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2022-05-04 10:00:24 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-05-04 10:00:24 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-05-04 10:00:24 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-05-04 10:00:24 configure socat:amd64 1.7.4.1-3 <none>
2022-05-04 10:00:24 status unpacked socat:amd64 1.7.4.1-3
2022-05-04 10:00:24 status half-configured socat:amd64 1.7.4.1-3
2022-05-04 10:00:24 status installed socat:amd64 1.7.4.1-3
2022-05-04 10:00:24 configure libncurses6:amd64 6.2+20201114-2 <none>
2022-05-04 10:00:24 status unpacked libncurses6:amd64 6.2+20201114-2
2022-05-04 10:00:24 status half-configured libncurses6:amd64 6.2+20201114-2
2022-05-04 10:00:24 status installed libncurses6:amd64 6.2+20201114-2
2022-05-04 10:00:24 configure xz-utils:amd64 5.2.5-2.1~deb11u1 <none>
2022-05-04 10:00:24 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2022-05-04 10:00:24 status half-configured xz-utils:amd64 5.2.5-2.1~deb11u1
2022-05-04 10:00:24 status installed xz-utils:amd64 5.2.5-2.1~deb11u1
2022-05-04 10:00:24 configure libmnl0:amd64 1.0.4-3 <none>
2022-05-04 10:00:24 status unpacked libmnl0:amd64 1.0.4-3
2022-05-04 10:00:24 status half-configured libmnl0:amd64 1.0.4-3
2022-05-04 10:00:24 status installed libmnl0:amd64 1.0.4-3
2022-05-04 10:00:24 configure libevent-2.1-7:amd64 2.1.12-stable-1 <none>
2022-05-04 10:00:24 status unpacked libevent-2.1-7:amd64 2.1.12-stable-1
2022-05-04 10:00:24 status half-configured libevent-2.1-7:amd64 2.1.12-stable-1
2022-05-04 10:00:24 status installed libevent-2.1-7:amd64 2.1.12-stable-1
2022-05-04 10:00:24 configure libncursesw6:amd64 6.2+20201114-2 <none>
2022-05-04 10:00:24 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-05-04 10:00:24 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-05-04 10:00:24 status installed libncursesw6:amd64 6.2+20201114-2
2022-05-04 10:00:24 configure libxtables12:amd64 1.8.7-1 <none>
2022-05-04 10:00:24 status unpacked libxtables12:amd64 1.8.7-1
2022-05-04 10:00:24 status half-configured libxtables12:amd64 1.8.7-1
2022-05-04 10:00:24 status installed libxtables12:amd64 1.8.7-1
2022-05-04 10:00:24 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-05-04 10:00:24 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:24 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:24 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-04 10:00:24 configure libmd0:amd64 1.0.3-3 <none>
2022-05-04 10:00:24 status unpacked libmd0:amd64 1.0.3-3
2022-05-04 10:00:24 status half-configured libmd0:amd64 1.0.3-3
2022-05-04 10:00:24 status installed libmd0:amd64 1.0.3-3
2022-05-04 10:00:24 configure keyutils:amd64 1.6.1-2 <none>
2022-05-04 10:00:24 status unpacked keyutils:amd64 1.6.1-2
2022-05-04 10:00:24 status half-configured keyutils:amd64 1.6.1-2
2022-05-04 10:00:24 status installed keyutils:amd64 1.6.1-2
2022-05-04 10:00:24 configure sensible-utils:all 0.0.14 <none>
2022-05-04 10:00:24 status unpacked sensible-utils:all 0.0.14
2022-05-04 10:00:24 status half-configured sensible-utils:all 0.0.14
2022-05-04 10:00:24 status installed sensible-utils:all 0.0.14
2022-05-04 10:00:24 configure uuid-runtime:amd64 2.36.1-8+deb11u1 <none>
2022-05-04 10:00:24 status unpacked uuid-runtime:amd64 2.36.1-8+deb11u1
2022-05-04 10:00:24 status half-configured uuid-runtime:amd64 2.36.1-8+deb11u1
2022-05-04 10:00:24 status installed uuid-runtime:amd64 2.36.1-8+deb11u1
2022-05-04 10:00:24 configure libnfnetlink0:amd64 1.0.1-3+b1 <none>
2022-05-04 10:00:24 status unpacked libnfnetlink0:amd64 1.0.1-3+b1
2022-05-04 10:00:24 status half-configured libnfnetlink0:amd64 1.0.1-3+b1
2022-05-04 10:00:24 status installed libnfnetlink0:amd64 1.0.1-3+b1
2022-05-04 10:00:24 configure git-man:all 1:2.30.2-1 <none>
2022-05-04 10:00:24 status unpacked git-man:all 1:2.30.2-1
2022-05-04 10:00:24 status half-configured git-man:all 1:2.30.2-1
2022-05-04 10:00:24 status installed git-man:all 1:2.30.2-1
2022-05-04 10:00:24 configure libssh2-1:amd64 1.9.0-2 <none>
2022-05-04 10:00:24 status unpacked libssh2-1:amd64 1.9.0-2
2022-05-04 10:00:25 status half-configured libssh2-1:amd64 1.9.0-2
2022-05-04 10:00:25 status installed libssh2-1:amd64 1.9.0-2
2022-05-04 10:00:25 configure netbase:all 6.3 <none>
2022-05-04 10:00:25 status unpacked netbase:all 6.3
2022-05-04 10:00:25 status half-configured netbase:all 6.3
2022-05-04 10:00:25 status installed netbase:all 6.3
2022-05-04 10:00:25 configure libfido2-1:amd64 1.6.0-2 <none>
2022-05-04 10:00:25 status unpacked libfido2-1:amd64 1.6.0-2
2022-05-04 10:00:25 status half-configured libfido2-1:amd64 1.6.0-2
2022-05-04 10:00:25 status installed libfido2-1:amd64 1.6.0-2
2022-05-04 10:00:25 configure openssl:amd64 1.1.1n-0+deb11u1 <none>
2022-05-04 10:00:25 status unpacked openssl:amd64 1.1.1n-0+deb11u1
2022-05-04 10:00:25 status half-configured openssl:amd64 1.1.1n-0+deb11u1
2022-05-04 10:00:25 status installed openssl:amd64 1.1.1n-0+deb11u1
2022-05-04 10:00:25 configure libbsd0:amd64 0.11.3-1 <none>
